Date,HIGH_T,LOW_T,PRECIP,BB_COUNT
1-Apr-17,46,37,0,606
2-Apr-17,62.1,41,0,2021
3-Apr-17,63,50,0.03,2470
4-Apr-17,51.1,46,1.18,723
5-Apr-17,63,46,0,2807
6-Apr-17,48.9,41,0.73,461
7-Apr-17,48,43,0.01,1222
8-Apr-17,55.9,39.9,0,1674
9-Apr-17,66,45,0,2375
10-Apr-17,73.9,55,0,3324
11-Apr-17,80.1,62.1,0,3887
12-Apr-17,73.9,57.9,0.02,2565
13-Apr-17,64,48.9,0,3353
14-Apr-17,64.9,48.9,0,2942
15-Apr-17,64.9,52,0,2253
16-Apr-17,84.9,62.1,0.01,2877
17-Apr-17,73.9,64,0.01,3152
18-Apr-17,66,50,0,3415
19-Apr-17,52,45,0.01,1965
20-Apr-17,64.9,50,0.17,1567
21-Apr-17,53.1,48,0.29,1426
22-Apr-17,55.9,52,0.11,1318
23-Apr-17,64.9,46.9,0,2520
24-Apr-17,60.1,50,0.01,2544
25-Apr-17,54,50,0.91,611
26-Apr-17,59,54,0.34,1247
27-Apr-17,68,59,0,2959
28-Apr-17,82.9,57.9,0,3679
29-Apr-17,84,64,0.06,3315
30-Apr-17,64,54,0,2225
1-May-17,72,50,0,3084
2-May-17,73.9,66.9,0,3423
3-May-17,64.9,57.9,0,3342
4-May-17,63,50,0,3019
5-May-17,59,52,3.02,513
6-May-17,64.9,57,0.18,1892
7-May-17,54,48.9,0.01,3539
8-May-17,57,45,0,2886
9-May-17,61,48,0,2718
10-May-17,70,51.1,0,2810
11-May-17,61,51.8,0,2657
12-May-17,62.1,51.1,0,2640
13-May-17,51.1,45,1.31,151
14-May-17,64.9,46,0.02,1452
15-May-17,66.9,55.9,0,2685
16-May-17,78.1,57.9,0,3666
17-May-17,90,66,0,3535
18-May-17,91.9,75,0,3190
19-May-17,90,75.9,0,2952
20-May-17,64,55.9,0.01,2161
21-May-17,66.9,55,0,2612
22-May-17,61,54,0.59,768
23-May-17,68,57.9,0,3174
24-May-17,66.9,57,0.04,2969
25-May-17,57.9,55.9,0.58,488
26-May-17,73,55.9,0.1,2590
27-May-17,71.1,61,0,2609
28-May-17,71.1,59,0,2640
29-May-17,57.9,55.9,0.13,836
30-May-17,59,55.9,0.06,2301
31-May-17,75,57.9,0.03,2689
1-Jun-17,78.1,62.1,0,3468
2-Jun-17,73.9,60.1,0.01,3271
3-Jun-17,72,55,0.01,2589
4-Jun-17,68,60.1,0.09,1805
5-Jun-17,66.9,60.1,0.02,2171
6-Jun-17,55.9,53.1,0.06,1193
7-Jun-17,66.9,54,0,3211
8-Jun-17,68,59,0,3253
9-Jun-17,80.1,59,0,3401
10-Jun-17,84,68,0,3066
11-Jun-17,90,73,0,2465
12-Jun-17,91.9,77,0,2854
13-Jun-17,93.9,78.1,0.01,2882
14-Jun-17,84,69.1,0.29,2596
15-Jun-17,75,66,0,3510
16-Jun-17,68,66,0,2054
17-Jun-17,73,66.9,1.39,1399
18-Jun-17,84,72,0.01,2199
19-Jun-17,87.1,70,1.35,1648
20-Jun-17,82,72,0.03,3407
21-Jun-17,82,72,0,3304
22-Jun-17,82,70,0,3368
23-Jun-17,82.9,75.9,0.04,2283
24-Jun-17,82.9,71.1,1.29,2307
25-Jun-17,82,69.1,0,2625
26-Jun-17,78.1,66,0,3386
27-Jun-17,75.9,61,0.18,3182
28-Jun-17,78.1,62.1,0,3766
29-Jun-17,81,68,0,3356
30-Jun-17,88,73.9,0.01,2687
1-Jul-17,84.9,72,0.23,1848
2-Jul-17,87.1,73,0,2467
3-Jul-17,87.1,71.1,0.45,2714
4-Jul-17,82.9,70,0,2296
5-Jul-17,84.9,71.1,0,3170
6-Jul-17,75,71.1,0.01,3065
7-Jul-17,79,68,1.78,1513
8-Jul-17,82.9,70,0,2718
9-Jul-17,81,69.1,0,3048
10-Jul-17,82.9,71.1,0,3506
11-Jul-17,84,75,0,2929
12-Jul-17,87.1,77,0,2860
13-Jul-17,89.1,77,0,2563
14-Jul-17,69.1,64.9,0.35,907
15-Jul-17,82.9,68,0,2853
16-Jul-17,84.9,70,0,2917
17-Jul-17,84.9,73.9,0,3264
18-Jul-17,87.1,75.9,0,3507
19-Jul-17,91,77,0,3114
20-Jul-17,93,78.1,0.01,2840
21-Jul-17,91,77,0,2751
22-Jul-17,91,78.1,0.57,2301
23-Jul-17,78.1,73,0.06,2321
24-Jul-17,69.1,63,0.74,1576
25-Jul-17,71.1,64,0,3191
26-Jul-17,75.9,66,0,3821
27-Jul-17,77,66.9,0.01,3287
28-Jul-17,84.9,73,0,3123
29-Jul-17,75.9,68,0,2074
30-Jul-17,81,64.9,0,3331
31-Jul-17,88,66.9,0,3560
1-Aug-17,91,72,0,3492
2-Aug-17,86,69.1,0.09,2637
3-Aug-17,86,70,0,3346
4-Aug-17,82.9,70,0.15,2400
5-Aug-17,77,70,0.3,3409
6-Aug-17,75.9,64,0,3130
7-Aug-17,71.1,64.9,0.76,804
8-Aug-17,77,66,0,3598
9-Aug-17,82.9,66,0,3893
10-Aug-17,82.9,69.1,0,3423
11-Aug-17,81,70,0.01,3148
12-Aug-17,75.9,64.9,0.11,4146
13-Aug-17,82,71.1,0,3274
14-Aug-17,80.1,70,0,3291
15-Aug-17,73,69.1,0.45,2149
16-Aug-17,84.9,70,0,3685
17-Aug-17,82,71.1,0,3637
18-Aug-17,81,73,0.88,1064
19-Aug-17,84.9,73,0,4693
20-Aug-17,81,70,0,2822
21-Aug-17,84.9,73,0,3088
22-Aug-17,88,75,0.3,2983
23-Aug-17,80.1,71.1,0.01,2994
24-Aug-17,79,66,0,3688
25-Aug-17,78.1,64,0,3144
26-Aug-17,77,62.1,0,2710
27-Aug-17,77,63,0,2676
28-Aug-17,75,63,0,3332
29-Aug-17,68,62.1,0.1,1472
30-Aug-17,75.9,61,0.01,3468
31-Aug-17,81,64,0,3279
1-Sep-17,70,55,0,2945
2-Sep-17,66.9,54,0.53,1876
3-Sep-17,69.1,60.1,0.74,1004
4-Sep-17,79,62.1,0,2866
5-Sep-17,84,70,0.01,3244
6-Sep-17,70,62.1,0.42,1232
7-Sep-17,71.1,59,0.01,3249
8-Sep-17,70,59,0,3234
9-Sep-17,69.1,55,0,2609
10-Sep-17,72,57,0,4960
11-Sep-17,75.9,55,0,3657
12-Sep-17,78.1,61,0,3497
13-Sep-17,82,64.9,0.06,2994
14-Sep-17,81,70,0.02,3013
15-Sep-17,81,66.9,0,3344
16-Sep-17,82,70,0,2560
17-Sep-17,80.1,70,0,2676
18-Sep-17,73,69.1,0,2673
19-Sep-17,78.1,69.1,0.22,2012
20-Sep-17,78.1,71.1,0,3296
21-Sep-17,80.1,71.1,0,3317
22-Sep-17,82,66,0,3297
23-Sep-17,86,68,0,2810
24-Sep-17,90,69.1,0,2543
25-Sep-17,87.1,72,0,3276
26-Sep-17,82,69.1,0,3157
27-Sep-17,84.9,71.1,0,3216
28-Sep-17,78.1,66,0,3421
29-Sep-17,66.9,55,0,2988
30-Sep-17,64,55.9,0,1903
1-Oct-17,66.9,50,0,2297
2-Oct-17,72,52,0,3387
3-Oct-17,70,57,0,3386
4-Oct-17,75,55.9,0,3412
5-Oct-17,82,64.9,0,3312
6-Oct-17,81,69.1,0,2982
7-Oct-17,80.1,66,0,2750
8-Oct-17,77,72,0.22,1235
9-Oct-17,75.9,72,0.26,898
10-Oct-17,80.1,66,0,3922
11-Oct-17,75,64.9,0.06,2721
12-Oct-17,63,55.9,0.07,2411
13-Oct-17,64.9,52,0,2839
14-Oct-17,71.1,62.1,0.08,2021
15-Oct-17,72,66,0.01,2169
16-Oct-17,60.1,52,0.01,2751
17-Oct-17,57.9,43,0,2869
18-Oct-17,71.1,50,0,3264
19-Oct-17,70,55.9,0,3265
20-Oct-17,73,57.9,0,3169
21-Oct-17,78.1,57,0,2538
22-Oct-17,75.9,57,0,2744
23-Oct-17,73.9,64,0,3189
24-Oct-17,73,66.9,0.2,954
25-Oct-17,64.9,57.9,0,3367
26-Oct-17,57,53.1,0,2565
27-Oct-17,62.1,48,0,3150
28-Oct-17,68,55.9,0,2245
29-Oct-17,64.9,61,3.03,183
30-Oct-17,55,46,0.25,1428
31-Oct-17,54,44,0,2727